district,week,year,cases
Jaffna,41,2020,8
Kalmunai,41,2020,0
Kalutara,41,2020,0
Kandy,41,2020,68
Kegalle,41,2020,4
Kilinochchi,41,2020,1
Kurunegala,41,2020,9
Mannar,41,2020,0
Matale,41,2020,3
Matara,41,2020,8
Monaragala,41,2020,0
Mullaitivu,41,2020,0
Nuwara Eliya,41,2020,0
Polonnaruwa,41,2020,2
Puttalam,41,2020,0
Ratnapura,41,2020,15
Trincomalee,41,2020,0
Vavuniya,41,2020,0
Ampara,42,2020,1
Anuradhapura,42,2020,1
Badulla,42,2020,0
Batticaloa,42,2020,57
Colombo,42,2020,27
Galle,42,2020,3
Gampaha,42,2020,22
Hambantota,42,2020,1
Jaffna,42,2020,9
Kalmunai,42,2020,0
Kalutara,42,2020,0
Kandy,42,2020,53
Kegalle,42,2020,8
Kilinochchi,42,2020,0
Kurunegala,42,2020,5
Mannar,42,2020,0
Matale,42,2020,1
Matara,42,2020,6
Monaragala,42,2020,0
Mullaitivu,42,2020,0
Nuwara Eliya,42,2020,1
Polonnaruwa,42,2020,0
Puttalam,42,2020,0
Ratnapura,42,2020,11
Trincomalee,42,2020,0
Vavuniya,42,2020,0
Ampara,43,2020,0
Anuradhapura,43,2020,1
Badulla,43,2020,6
Batticaloa,43,2020,110
Colombo,43,2020,18
Galle,43,2020,4
Gampaha,43,2020,10
Hambantota,43,2020,1
Jaffna,43,2020,3
Kalmunai,43,2020,0
Kalutara,43,2020,0
Kandy,43,2020,30
Kegalle,43,2020,3
Kilinochchi,43,2020,1
Kurunegala,43,2020,7
Mannar,43,2020,0
Matale,43,2020,2
Matara,43,2020,5
Monaragala,43,2020,0
Mullaitivu,43,2020,0
Nuwara Eliya,43,2020,1
Polonnaruwa,43,2020,1
Puttalam,43,2020,0
Ratnapura,43,2020,11
Trincomalee,43,2020,2
Vavuniya,43,2020,0
Ampara,44,2020,1
Anuradhapura,44,2020,2
Badulla,44,2020,3
Batticaloa,44,2020,96
Colombo,44,2020,18
Galle,44,2020,0
Gampaha,44,2020,11
Hambantota,44,2020,0
Jaffna,44,2020,3
Kalmunai,44,2020,0
Kalutara,44,2020,0
Kandy,44,2020,48
Kegalle,44,2020,13
Kilinochchi,44,2020,2
Kurunegala,44,2020,4
Mannar,44,2020,0
Matale,44,2020,3
Matara,44,2020,5
Monaragala,44,2020,0
Mullaitivu,44,2020,0
Nuwara Eliya,44,2020,1
Polonnaruwa,44,2020,0
Puttalam,44,2020,0
Ratnapura,44,2020,11
Trincomalee,44,2020,3
Vavuniya,44,2020,0
Ampara,45,2020,2
Anuradhapura,45,2020,2
Badulla,45,2020,6
Batticaloa,45,2020,77
Colombo,45,2020,21
Galle,45,2020,7
Gampaha,45,2020,14
Hambantota,45,2020,2
Jaffna,45,2020,4
Kalmunai,45,2020,0
Kalutara,45,2020,0
Kandy,45,2020,33
Kegalle,45,2020,9
Kilinochchi,45,2020,0
Kurunegala,45,2020,2
Mannar,45,2020,0
Matale,45,2020,4
Matara,45,2020,3
Monaragala,45,2020,0
Mullaitivu,45,2020,0
Nuwara Eliya,45,2020,0
Polonnaruwa,45,2020,1
Puttalam,45,2020,0
Ratnapura,45,2020,5
Trincomalee,45,2020,1
Vavuniya,45,2020,0
Ampara,46,2020,0
Anuradhapura,46,2020,1
Badulla,46,2020,7
Batticaloa,46,2020,78
Colombo,46,2020,23
Galle,46,2020,0
Gampaha,46,2020,18
Hambantota,46,2020,1
Jaffna,46,2020,4
Kalmunai,46,2020,0
Kalutara,46,2020,0
Kandy,46,2020,31
Kegalle,46,2020,7
Kilinochchi,46,2020,0
Kurunegala,46,2020,1
Mannar,46,2020,0
Matale,46,2020,2
Matara,46,2020,6
Monaragala,46,2020,0
Mullaitivu,46,2020,0
Nuwara Eliya,46,2020,0
Polonnaruwa,46,2020,0
Puttalam,46,2020,0
Ratnapura,46,2020,9
Trincomalee,46,2020,4
Vavuniya,46,2020,1
Ampara,47,2020,1
Anuradhapura,47,2020,2
Badulla,47,2020,8
Batticaloa,47,2020,93
Colombo,47,2020,18
Galle,47,2020,5
Gampaha,47,2020,19
Hambantota,47,2020,2
Jaffna,47,2020,4
Kalmunai,47,2020,0
Kalutara,47,2020,0
Kandy,47,2020,42
Kegalle,47,2020,12
Kilinochchi,47,2020,0
Kurunegala,47,2020,9
Mannar,47,2020,0
Matale,47,2020,3
Matara,47,2020,1
Monaragala,47,2020,0
Mullaitivu,47,2020,0
Nuwara Eliya,47,2020,0
Polonnaruwa,47,2020,0
Puttalam,47,2020,0
Ratnapura,47,2020,10
Trincomalee,47,2020,2
Vavuniya,47,2020,0
Ampara,48,2020,0
Anuradhapura,48,2020,2
Badulla,48,2020,8
Batticaloa,48,2020,189
Colombo,48,2020,15
Galle,48,2020,3
Gampaha,48,2020,10
Hambantota,48,2020,3
Jaffna,48,2020,4
Kalmunai,48,2020,0
Kalutara,48,2020,0
Kandy,48,2020,27
Kegalle,48,2020,12
Kilinochchi,48,2020,1
Kurunegala,48,2020,3
Mannar,48,2020,0
Matale,48,2020,3
Matara,48,2020,6
Monaragala,48,2020,0
Mullaitivu,48,2020,0
Nuwara Eliya,48,2020,1
Polonnaruwa,48,2020,0
Puttalam,48,2020,0
Ratnapura,48,2020,5
Trincomalee,48,2020,0
Vavuniya,48,2020,0
Ampara,49,2020,0
Anuradhapura,49,2020,3
Badulla,49,2020,7
Batticaloa,49,2020,185
Colombo,49,2020,16
Galle,49,2020,1
Gampaha,49,2020,26
Hambantota,49,2020,4
Jaffna,49,2020,2
Kalmunai,49,2020,0
Kalutara,49,2020,0
Kandy,49,2020,15
Kegalle,49,2020,11
Kilinochchi,49,2020,0
Kurunegala,49,2020,11
Mannar,49,2020,1
Matale,49,2020,2
Matara,49,2020,2
Monaragala,49,2020,0
Mullaitivu,49,2020,0
Nuwara Eliya,49,2020,1
Polonnaruwa,49,2020,1
Puttalam,49,2020,0
Ratnapura,49,2020,13
Trincomalee,49,2020,0
Vavuniya,49,2020,0
Ampara,50,2020,0
Anuradhapura,50,2020,4
Badulla,50,2020,9
Batticaloa,50,2020,257
Colombo,50,2020,40
Galle,50,2020,6
Gampaha,50,2020,21
Hambantota,50,2020,5
Jaffna,50,2020,6
Kalmunai,50,2020,0
Kalutara,50,2020,0
Kandy,50,2020,12
Kegalle,50,2020,8
Kilinochchi,50,2020,0
Kurunegala,50,2020,7
Mannar,50,2020,0
Matale,50,2020,5
Matara,50,2020,2
Monaragala,50,2020,0
Mullaitivu,50,2020,0
Nuwara Eliya,50,2020,0
Polonnaruwa,50,2020,1
Puttalam,50,2020,0
Ratnapura,50,2020,3
Trincomalee,50,2020,5
Vavuniya,50,2020,0
Ampara,51,2020,0
Anuradhapura,51,2020,2
Badulla,51,2020,9
Batticaloa,51,2020,301
Colombo,51,2020,43
Galle,51,2020,6
Gampaha,51,2020,30
Hambantota,51,2020,0
Jaffna,51,2020,4
Kalmunai,51,2020,0
Kalutara,51,2020,0
Kandy,51,2020,15
Kegalle,51,2020,18
Kilinochchi,51,2020,0
Kurunegala,51,2020,3
Mannar,51,2020,1
Matale,51,2020,4
Matara,51,2020,3
Monaragala,51,2020,0
Mullaitivu,51,2020,1
Nuwara Eliya,51,2020,1
Polonnaruwa,51,2020,0
Puttalam,51,2020,0
Ratnapura,51,2020,5
Trincomalee,51,2020,0
Vavuniya,51,2020,2
Ampara,52,2020,0
Anuradhapura,52,2020,6
Badulla,52,2020,6
Batticaloa,52,2020,390
Colombo,52,2020,35
Galle,52,2020,5
Gampaha,52,2020,19
Hambantota,52,2020,2
Jaffna,52,2020,6
Kalmunai,52,2020,0
Kalutara,52,2020,0
Kandy,52,2020,20
Kegalle,52,2020,1
Kilinochchi,52,2020,0
Kurunegala,52,2020,12
Mannar,52,2020,2
Matale,52,2020,5
Matara,52,2020,3
Monaragala,52,2020,0
Mullaitivu,52,2020,0
Nuwara Eliya,52,2020,0
Polonnaruwa,52,2020,1
Puttalam,52,2020,0
Ratnapura,52,2020,2
Trincomalee,52,2020,4
Vavuniya,52,2020,1
Ampara,53,2020,0
Anuradhapura,53,2020,0
Badulla,53,2020,0
Batticaloa,53,2020,0
Colombo,53,2020,0
Galle,53,2020,0
Gampaha,53,2020,0
Hambantota,53,2020,0
Jaffna,53,2020,0
Kalmunai,53,2020,0
Kalutara,53,2020,0
Kandy,53,2020,0
Kegalle,53,2020,0
Kilinochchi,53,2020,0
Kurunegala,53,2020,0
Mannar,53,2020,0
Matale,53,2020,0
Matara,53,2020,0
Monaragala,53,2020,0
Mullaitivu,53,2020,0
Nuwara Eliya,53,2020,0
Polonnaruwa,53,2020,0
Puttalam,53,2020,0
Ratnapura,53,2020,0
Trincomalee,53,2020,0
Vavuniya,53,2020,0
Ampara,1,2021,0
Anuradhapura,1,2021,0
Badulla,1,2021,1
Batticaloa,1,2021,152
Colombo,1,2021,18
Galle,1,2021,2
Gampaha,1,2021,8
Hambantota,1,2021,3
Jaffna,1,2021,0
Kalmunai,1,2021,0
Kalutara,1,2021,0
Kandy,1,2021,3
Kegalle,1,2021,3
Kilinochchi,1,2021,0
Kurunegala,1,2021,3
Mannar,1,2021,0
Matale,1,2021,0
Matara,1,2021,4
Monaragala,1,2021,0
Mullaitivu,1,2021,0
Nuwara Eliya,1,2021,0
Polonnaruwa,1,2021,0
Puttalam,1,2021,0
Ratnapura,1,2021,0
Trincomalee,1,2021,1
Vavuniya,1,2021,0
Ampara,2,2021,0
Anuradhapura,2,2021,3
Badulla,2,2021,11
Batticaloa,2,2021,287
Colombo,2,2021,52
Galle,2,2021,7
Gampaha,2,2021,28
Hambantota,2,2021,4
Jaffna,2,2021,2
Kalmunai,2,2021,0
Kalutara,2,2021,0
Kandy,2,2021,17
Kegalle,2,2021,5
Kilinochchi,2,2021,2
Kurunegala,2,2021,13
Mannar,2,2021,1
Matale,2,2021,4
Matara,2,2021,8
Monaragala,2,2021,0
Mullaitivu,2,2021,0
Nuwara Eliya,2,2021,2
Polonnaruwa,2,2021,0
Puttalam,2,2021,0
Ratnapura,2,2021,10
Trincomalee,2,2021,2
Vavuniya,2,2021,1
Ampara,3,2021,1
Anuradhapura,3,2021,3
Badulla,3,2021,7
Batticaloa,3,2021,259
Colombo,3,2021,34
Galle,3,2021,6
Gampaha,3,2021,20
Hambantota,3,2021,2
Jaffna,3,2021,3
Kalmunai,3,2021,0
Kalutara,3,2021,0
Kandy,3,2021,17
Kegalle,3,2021,5
Kilinochchi,3,2021,0
Kurunegala,3,2021,19
Mannar,3,2021,0
Matale,3,2021,3
Matara,3,2021,6
Monaragala,3,2021,0
Mullaitivu,3,2021,0
Nuwara Eliya,3,2021,1
Polonnaruwa,3,2021,1
Puttalam,3,2021,0
Ratnapura,3,2021,9
Trincomalee,3,2021,3
Vavuniya,3,2021,1
Ampara,4,2021,3
Anuradhapura,4,2021,3
Badulla,4,2021,1
Batticaloa,4,2021,321
Colombo,4,2021,54
Galle,4,2021,4
Gampaha,4,2021,41
Hambantota,4,2021,3
Jaffna,4,2021,7
Kalmunai,4,2021,0
Kalutara,4,2021,0
Kandy,4,2021,19
Kegalle,4,2021,4
Kilinochchi,4,2021,0
Kurunegala,4,2021,6
Mannar,4,2021,2
Matale,4,2021,1
Matara,4,2021,2
Monaragala,4,2021,0
Mullaitivu,4,2021,0
Nuwara Eliya,4,2021,4
Polonnaruwa,4,2021,1
Puttalam,4,2021,0
Ratnapura,4,2021,7
Trincomalee,4,2021,3
Vavuniya,4,2021,0
Ampara,5,2021,0
Anuradhapura,5,2021,5
Badulla,5,2021,3
Batticaloa,5,2021,257
Colombo,5,2021,50
Galle,5,2021,4
Gampaha,5,2021,26
Hambantota,5,2021,10
Jaffna,5,2021,2
Kalmunai,5,2021,0
Kalutara,5,2021,0
Kandy,5,2021,18
Kegalle,5,2021,7
Kilinochchi,5,2021,2
Kurunegala,5,2021,12
Mannar,5,2021,2
Matale,5,2021,1
Matara,5,2021,3
Monaragala,5,2021,0
Mullaitivu,5,2021,0
Nuwara Eliya,5,2021,0
Polonnaruwa,5,2021,2
Puttalam,5,2021,0
Ratnapura,5,2021,10
Trincomalee,5,2021,2
Vavuniya,5,2021,1
Ampara,6,2021,3
Anuradhapura,6,2021,1
Badulla,6,2021,1
Batticaloa,6,2021,401
Colombo,6,2021,76
Galle,6,2021,1
Gampaha,6,2021,47
Hambantota,6,2021,6
Jaffna,6,2021,1
Kalmunai,6,2021,0
Kalutara,6,2021,0
Kandy,6,2021,8
Kegalle,6,2021,1
Kilinochchi,6,2021,4
Kurunegala,6,2021,10
Mannar,6,2021,1
Matale,6,2021,3
Matara,6,2021,7
Monaragala,6,2021,0
Mullaitivu,6,2021,0
Nuwara Eliya,6,2021,0
Polonnaruwa,6,2021,3
Puttalam,6,2021,0
Ratnapura,6,2021,15
Trincomalee,6,2021,3
Vavuniya,6,2021,0
Ampara,7,2021,1
Anuradhapura,7,2021,6
Badulla,7,2021,0
Batticaloa,7,2021,413
Colombo,7,2021,86
Galle,7,2021,3
Gampaha,7,2021,66
Hambantota,7,2021,5
Jaffna,7,2021,1
Kalmunai,7,2021,0
Kalutara,7,2021,0
Kandy,7,2021,18
Kegalle,7,2021,9
Kilinochchi,7,2021,0
Kurunegala,7,2021,13
Mannar,7,2021,0
Matale,7,2021,1
Matara,7,2021,15
Monaragala,7,2021,0
Mullaitivu,7,2021,0
Nuwara Eliya,7,2021,1
Polonnaruwa,7,2021,1
Puttalam,7,2021,0
Ratnapura,7,2021,10
Trincomalee,7,2021,16
Vavuniya,7,2021,8
Ampara,8,2021,1
Anuradhapura,8,2021,5
Badulla,8,2021,1
Batticaloa,8,2021,217
Colombo,8,2021,115
Galle,8,2021,8
Gampaha,8,2021,46
Hambantota,8,2021,7
Jaffna,8,2021,1
Kalmunai,8,2021,0
Kalutara,8,2021,0
Kandy,8,2021,17
Kegalle,8,2021,14
Kilinochchi,8,2021,0
Kurunegala,8,2021,17
Mannar,8,2021,0
Matale,8,2021,3
Matara,8,2021,8
Monaragala,8,2021,0
Mullaitivu,8,2021,0
Nuwara Eliya,8,2021,0
Polonnaruwa,8,2021,2
Puttalam,8,2021,0
Ratnapura,8,2021,14
Trincomalee,8,2021,11
Vavuniya,8,2021,2
Ampara,9,2021,1
Anuradhapura,9,2021,6
Badulla,9,2021,0
Batticaloa,9,2021,183
Colombo,9,2021,111
Galle,9,2021,8
Gampaha,9,2021,40
Hambantota,9,2021,6
Jaffna,9,2021,1
Kalmunai,9,2021,0
Kalutara,9,2021,0
Kandy,9,2021,11
Kegalle,9,2021,14
Kilinochchi,9,2021,0
Kurunegala,9,2021,25
Mannar,9,2021,3
Matale,9,2021,2
Matara,9,2021,7
Monaragala,9,2021,0
Mullaitivu,9,2021,0
Nuwara Eliya,9,2021,2
Polonnaruwa,9,2021,0
Puttalam,9,2021,0
Ratnapura,9,2021,25
Trincomalee,9,2021,9
Vavuniya,9,2021,1
Ampara,10,2021,2
Anuradhapura,10,2021,3
Badulla,10,2021,2
Batticaloa,10,2021,167
Colombo,10,2021,195
Galle,10,2021,8
Gampaha,10,2021,91
Hambantota,10,2021,5
Jaffna,10,2021,2
Kalmunai,10,2021,0
Kalutara,10,2021,0
Kandy,10,2021,16
Kegalle,10,2021,14
Kilinochchi,10,2021,0
Kurunegala,10,2021,28
Mannar,10,2021,3
Matale,10,2021,4
Matara,10,2021,15
Monaragala,10,2021,0
Mullaitivu,10,2021,0
Nuwara Eliya,10,2021,3
Polonnaruwa,10,2021,0
Puttalam,10,2021,0
Ratnapura,10,2021,22
Trincomalee,10,2021,6
Vavuniya,10,2021,3
Ampara,11,2021,0
Anuradhapura,11,2021,11
Badulla,11,2021,7
Batticaloa,11,2021,114
Colombo,11,2021,159
Galle,11,2021,7
Gampaha,11,2021,55
Hambantota,11,2021,9
Jaffna,11,2021,2
Kalmunai,11,2021,0
Kalutara,11,2021,0
Kandy,11,2021,16
Kegalle,11,2021,17
Kilinochchi,11,2021,0
Kurunegala,11,2021,35
Mannar,11,2021,1
Matale,11,2021,4
Matara,11,2021,8
Monaragala,11,2021,0
Mullaitivu,11,2021,0
Nuwara Eliya,11,2021,3
Polonnaruwa,11,2021,0
Puttalam,11,2021,0
Ratnapura,11,2021,26
Trincomalee,11,2021,17
Vavuniya,11,2021,1
Ampara,12,2021,1
Anuradhapura,12,2021,4
Badulla,12,2021,3
Batticaloa,12,2021,65
Colombo,12,2021,127
Galle,12,2021,10
Gampaha,12,2021,51
Hambantota,12,2021,9
Jaffna,12,2021,1
Kalmunai,12,2021,0
Kalutara,12,2021,0
Kandy,12,2021,20
Kegalle,12,2021,12
Kilinochchi,12,2021,0
Kurunegala,12,2021,30
Mannar,12,2021,0
Matale,12,2021,1
Matara,12,2021,5
Monaragala,12,2021,0
Mullaitivu,12,2021,0
Nuwara Eliya,12,2021,1
Polonnaruwa,12,2021,0
Puttalam,12,2021,0
Ratnapura,12,2021,28
Trincomalee,12,2021,6
Vavuniya,12,2021,0
Ampara,13,2021,2
Anuradhapura,13,2021,5
Badulla,13,2021,3
Batticaloa,13,2021,81
Colombo,13,2021,130
Galle,13,2021,3
Gampaha,13,2021,69
Hambantota,13,2021,7
Jaffna,13,2021,1
Kalmunai,13,2021,0
Kalutara,13,2021,0
Kandy,13,2021,21
Kegalle,13,2021,21
Kilinochchi,13,2021,1
Kurunegala,13,2021,49
Mannar,13,2021,1
Matale,13,2021,3
Matara,13,2021,5
Monaragala,13,2021,0
Mullaitivu,13,2021,0
Nuwara Eliya,13,2021,3
Polonnaruwa,13,2021,0
Puttalam,13,2021,0
Ratnapura,13,2021,18
Trincomalee,13,2021,5
Vavuniya,13,2021,3
Ampara,14,2021,1
Anuradhapura,14,2021,13
Badulla,14,2021,5
Batticaloa,14,2021,58
Colombo,14,2021,148
Galle,14,2021,5
Gampaha,14,2021,55
Hambantota,14,2021,10
Jaffna,14,2021,2
Kalmunai,14,2021,0
Kalutara,14,2021,0
Kandy,14,2021,22
Kegalle,14,2021,19
Kilinochchi,14,2021,1
Kurunegala,14,2021,32
Mannar,14,2021,2
Matale,14,2021,1
Matara,14,2021,5
Monaragala,14,2021,0
Mullaitivu,14,2021,0
Nuwara Eliya,14,2021,1
Polonnaruwa,14,2021,0
Puttalam,14,2021,0
Ratnapura,14,2021,12
Trincomalee,14,2021,4
Vavuniya,14,2021,2
Ampara,15,2021,2
Anuradhapura,15,2021,6
Badulla,15,2021,3
Batticaloa,15,2021,47
Colombo,15,2021,155
Galle,15,2021,20
Gampaha,15,2021,59
Hambantota,15,2021,13
Jaffna,15,2021,0
Kalmunai,15,2021,0
Kalutara,15,2021,0
Kandy,15,2021,20
Kegalle,15,2021,28
Kilinochchi,15,2021,0
Kurunegala,15,2021,37
Mannar,15,2021,1
Matale,15,2021,4
Matara,15,2021,8
Monaragala,15,2021,0
Mullaitivu,15,2021,0
Nuwara Eliya,15,2021,2
Polonnaruwa,15,2021,1
Puttalam,15,2021,0
Ratnapura,15,2021,18
Trincomalee,15,2021,1
Vavuniya,15,2021,0
Ampara,16,2021,3
Anuradhapura,16,2021,12
Badulla,16,2021,7
Batticaloa,16,2021,63
Colombo,16,2021,177
Galle,16,2021,14
Gampaha,16,2021,53
Hambantota,16,2021,10
Jaffna,16,2021,3
Kalmunai,16,2021,0
Kalutara,16,2021,0
Kandy,16,2021,30
Kegalle,16,2021,22
Kilinochchi,16,2021,0
Kurunegala,16,2021,25
Mannar,16,2021,2
Matale,16,2021,6
Matara,16,2021,16
Monaragala,16,2021,0
Mullaitivu,16,2021,0
Nuwara Eliya,16,2021,1
Polonnaruwa,16,2021,2
Puttalam,16,2021,0
Ratnapura,16,2021,25
Trincomalee,16,2021,2
Vavuniya,16,2021,2
Ampara,17,2021,2
Anuradhapura,17,2021,10
Badulla,17,2021,8
Batticaloa,17,2021,65
Colombo,17,2021,210
Galle,17,2021,13
Gampaha,17,2021,80
Hambantota,17,2021,10
Jaffna,17,2021,0
Kalmunai,17,2021,0
Kalutara,17,2021,0
Kandy,17,2021,20
Kegalle,17,2021,18
Kilinochchi,17,2021,1
Kurunegala,17,2021,28
Mannar,17,2021,1
Matale,17,2021,2
Matara,17,2021,9
Monaragala,17,2021,0
Mullaitivu,17,2021,0
Nuwara Eliya,17,2021,4
Polonnaruwa,17,2021,0
Puttalam,17,2021,0
Ratnapura,17,2021,18
Trincomalee,17,2021,14
Vavuniya,17,2021,0
Ampara,18,2021,3
Anuradhapura,18,2021,5
Badulla,18,2021,2
Batticaloa,18,2021,50
Colombo,18,2021,196
Galle,18,2021,7
Gampaha,18,2021,60
Hambantota,18,2021,3
Jaffna,18,2021,0
Kalmunai,18,2021,0
Kalutara,18,2021,0
Kandy,18,2021,14
Kegalle,18,2021,13
Kilinochchi,18,2021,0
Kurunegala,18,2021,22
Mannar,18,2021,0
Matale,18,2021,4
Matara,18,2021,4
Monaragala,18,2021,0
Mullaitivu,18,2021,0
Nuwara Eliya,18,2021,0
Polonnaruwa,18,2021,1
Puttalam,18,2021,0
Ratnapura,18,2021,13
Trincomalee,18,2021,1
Vavuniya,18,2021,0
Ampara,19,2021,0
Anuradhapura,19,2021,13
Badulla,19,2021,3
Batticaloa,19,2021,30
Colombo,19,2021,132
Galle,19,2021,4
Gampaha,19,2021,55
Hambantota,19,2021,7
Jaffna,19,2021,2
Kalmunai,19,2021,0
Kalutara,19,2021,0
Kandy,19,2021,20
Kegalle,19,2021,12
Kilinochchi,19,2021,1
Kurunegala,19,2021,19
Mannar,19,2021,0
Matale,19,2021,4
Matara,19,2021,7
Monaragala,19,2021,0
Mullaitivu,19,2021,0
Nuwara Eliya,19,2021,0
Polonnaruwa,19,2021,3
Puttalam,19,2021,0
Ratnapura,19,2021,7
Trincomalee,19,2021,3
Vavuniya,19,2021,1
Ampara,20,2021,4
Anuradhapura,20,2021,0
Badulla,20,2021,5
Batticaloa,20,2021,27
Colombo,20,2021,81
Galle,20,2021,0
Gampaha,20,2021,27
Hambantota,20,2021,2
Jaffna,20,2021,0
Kalmunai,20,2021,0
Kalutara,20,2021,0
Kandy,20,2021,16
Kegalle,20,2021,14
Kilinochchi,20,2021,0
Kurunegala,20,2021,19
Mannar,20,2021,0
Matale,20,2021,0
Matara,20,2021,9
Monaragala,20,2021,0
Mullaitivu,20,2021,0
Nuwara Eliya,20,2021,3
Polonnaruwa,20,2021,0
Puttalam,20,2021,0
Ratnapura,20,2021,9
Trincomalee,20,2021,3
Vavuniya,20,2021,0
Ampara,21,2021,2
Anuradhapura,21,2021,1
Badulla,21,2021,5
Batticaloa,21,2021,12
Colombo,21,2021,134
Galle,21,2021,1
Gampaha,21,2021,42
Hambantota,21,2021,6
Jaffna,21,2021,0
Kalmunai,21,2021,0
Kalutara,21,2021,0
Kandy,21,2021,6
Kegalle,21,2021,8
Kilinochchi,21,2021,0
Kurunegala,21,2021,16
Mannar,21,2021,0
Matale,21,2021,0
Matara,21,2021,3
Monaragala,21,2021,0
Mullaitivu,21,2021,0
Nuwara Eliya,21,2021,0
Polonnaruwa,21,2021,0
Puttalam,21,2021,0
Ratnapura,21,2021,10
Trincomalee,21,2021,1
Vavuniya,21,2021,0
Ampara,22,2021,0
Anuradhapura,22,2021,3
Badulla,22,2021,4
Batticaloa,22,2021,31
Colombo,22,2021,158
Galle,22,2021,1
Gampaha,22,2021,59
Hambantota,22,2021,9
Jaffna,22,2021,0
Kalmunai,22,2021,0
Kalutara,22,2021,0
Kandy,22,2021,9
Kegalle,22,2021,15
Kilinochchi,22,2021,0
Kurunegala,22,2021,11
Mannar,22,2021,1
Matale,22,2021,3
Matara,22,2021,4
Monaragala,22,2021,0
Mullaitivu,22,2021,0
Nuwara Eliya,22,2021,0
Polonnaruwa,22,2021,0
Puttalam,22,2021,0
Ratnapura,22,2021,10
Trincomalee,22,2021,2
Vavuniya,22,2021,1
Ampara,23,2021,4
Anuradhapura,23,2021,24
Badulla,23,2021,15
Batticaloa,23,2021,17
Colombo,23,2021,197
Galle,23,2021,12
Gampaha,23,2021,82
Hambantota,23,2021,9
Jaffna,23,2021,1
Kalmunai,23,2021,0
Kalutara,23,2021,0
Kandy,23,2021,12
Kegalle,23,2021,10
Kilinochchi,23,2021,0
Kurunegala,23,2021,17
Mannar,23,2021,0
Matale,23,2021,5
Matara,23,2021,28
Monaragala,23,2021,0
Mullaitivu,23,2021,0
Nuwara Eliya,23,2021,3
Polonnaruwa,23,2021,2
Puttalam,23,2021,0
Ratnapura,23,2021,7
Trincomalee,23,2021,2
Vavuniya,23,2021,0
Ampara,24,2021,0
Anuradhapura,24,2021,17
Badulla,24,2021,12
Batticaloa,24,2021,10
Colombo,24,2021,238
Galle,24,2021,35
Gampaha,24,2021,98
Hambantota,24,2021,12
Jaffna,24,2021,1
Kalmunai,24,2021,0
Kalutara,24,2021,0
Kandy,24,2021,20
Kegalle,24,2021,12
Kilinochchi,24,2021,0
Kurunegala,24,2021,42
Mannar,24,2021,1
Matale,24,2021,4
Matara,24,2021,22
Monaragala,24,2021,0
Mullaitivu,24,2021,0
Nuwara Eliya,24,2021,1
Polonnaruwa,24,2021,5
Puttalam,24,2021,0
Ratnapura,24,2021,18
Trincomalee,24,2021,3
Vavuniya,24,2021,0
Ampara,25,2021,6
Anuradhapura,25,2021,18
Badulla,25,2021,26
Batticaloa,25,2021,17
Colombo,25,2021,354
Galle,25,2021,22
Gampaha,25,2021,126
Hambantota,25,2021,10
Jaffna,25,2021,1
Kalmunai,25,2021,0
Kalutara,25,2021,0
Kandy,25,2021,25
Kegalle,25,2021,15
Kilinochchi,25,2021,0
Kurunegala,25,2021,50
Mannar,25,2021,0
Matale,25,2021,5
Matara,25,2021,34
Monaragala,25,2021,0
Mullaitivu,25,2021,0
Nuwara Eliya,25,2021,0
Polonnaruwa,25,2021,0
Puttalam,25,2021,0
Ratnapura,25,2021,15
Trincomalee,25,2021,1
Vavuniya,25,2021,0
Ampara,26,2021,4
Anuradhapura,26,2021,10
Badulla,26,2021,11
Batticaloa,26,2021,4
Colombo,26,2021,337
Galle,26,2021,16
Gampaha,26,2021,129
Hambantota,26,2021,17
Jaffna,26,2021,0
Kalmunai,26,2021,0
Kalutara,26,2021,0
Kandy,26,2021,28
Kegalle,26,2021,11
Kilinochchi,26,2021,0
Kurunegala,26,2021,43
Mannar,26,2021,0
Matale,26,2021,3
Matara,26,2021,57
Monaragala,26,2021,0
Mullaitivu,26,2021,0
Nuwara Eliya,26,2021,1
Polonnaruwa,26,2021,2
Puttalam,26,2021,0
Ratnapura,26,2021,21
Trincomalee,26,2021,6
Vavuniya,26,2021,0
Ampara,27,2021,5
Anuradhapura,27,2021,11
Badulla,27,2021,12
Batticaloa,27,2021,11
Colombo,27,2021,306
Galle,27,2021,18
Gampaha,27,2021,150
Hambantota,27,2021,27
Jaffna,27,2021,0
Kalmunai,27,2021,0
Kalutara,27,2021,0
Kandy,27,2021,43
Kegalle,27,2021,15
Kilinochchi,27,2021,0
Kurunegala,27,2021,45
Mannar,27,2021,0
Matale,27,2021,7
Matara,27,2021,35
Monaragala,27,2021,0
Mullaitivu,27,2021,0
Nuwara Eliya,27,2021,2
Polonnaruwa,27,2021,6
Puttalam,27,2021,0
Ratnapura,27,2021,13
Trincomalee,27,2021,0
Vavuniya,27,2021,1
Ampara,28,2021,0
Anuradhapura,28,2021,16
Badulla,28,2021,12
Batticaloa,28,2021,5
Colombo,28,2021,353
Galle,28,2021,21
Gampaha,28,2021,164
Hambantota,28,2021,17
Jaffna,28,2021,0
Kalmunai,28,2021,0
Kalutara,28,2021,0
Kandy,28,2021,41
Kegalle,28,2021,15
Kilinochchi,28,2021,1
Kurunegala,28,2021,28
Mannar,28,2021,0
Matale,28,2021,10
Matara,28,2021,23
Monaragala,28,2021,0
